Well,Conc. [pg/�l],Sample Description,CELL_LINE,STAGE,SPECIES,SYSTEM
A1,1860,Ladder,,,,
B1,449,E14_T1_Ctrl,mESC,mESC,mouse,2D
C1,743,E14_2hrs,mESC,mESC,mouse,2D
D1,1950,F1G4_T1_Ctrl,mESC,mESC,mouse,2D
E1,1100,MEF_EXP1_D1,mEF,mEF,mouse,2D
F1,1510,MEF_EXP2_D1,mEF,mEF,mouse,2D
G1,1450,MEF_EXP3_D1,mEF,mEF,mouse,2D
H1,508,1-1,hiPSC,hiPSC,human,2D
A2,637,2-1_24hrs,hiPSC,hiPSC,human,2D
B2,319,2-3_24hrs,hiPSC,hiPSC,human,2D
C2,7640,PHH_DOX,PHH,PHH,human,2D
D2,2020,PHH_K_3,PHH,PHH,human,2D
E2,350,Primary_hepatocytes,PHH,PHH,human,2D
F2,50.7,FoP-Heps_cfDNA_D20,FoP-Heps,FoP-Heps,human,3D
G2,137,iHep_S,FoP-Heps,FoP-Heps,human,3D
H2,124,iHep_L,FoP-Heps,FoP-Heps,human,3D
A3,98,3-23_ZIP13K2_HLOD21,hLO,hLO,human,3D
B3,174,3-22_ZIP8K8_HLOD21,hLO,hLO,human,3D
C3,317,3-24_ZIP34K14_HLOD21,hLO,hLO,human,3D
D3,449,hGastr_G12,hGastr,hGastr,human,3D
E3,529,hGastr_F10,hGastr,hGastr,human,3D
F3,475,hGastr_B03,hGastr,hGastr,human,3D
G3,31.8,mTLS_F12,mTLS,mTLS,mouse,3D
H3,3.36,mTLS_E05,mTLS,mTLS,mouse,3D
A4,3.72,mTLS_G02,mTLS,mTLS,mouse,3D
B4,6070,Tumoroids_3N,hPDO,hPDO,human,3D
C4,8380,Tumoroids_4N,hPDO,hPDO,human,3D
D4,8190,Tumoroids_10N,hPDO,hPDO,human,3D
E4,,Hepatozym_medium_ONPK,NTC,NTC,Other,3D
F4,,E8_medium_ONPK,NTC,NTC,Other,3D
G4,,E6_medium_ONPK,NTC,NTC,Other,3D
